skillMstId,category,setEffectSeriesId,name,description,attackEffect,sp,maxLevel,resourceName,type,typeLabel,primaryIcon,secondaryIcon,rangeIcon,autoSkillPercentageType
1,4,0,Torch of Destruction (II),Deals P.DMG to 1 enemy.,0,14,15,,1,Single Enemy,1,0,1,0
2,4,0,Wave of Destruction (II),Deals P.DMG to 1 enemy.,0,14,15,,1,Single Enemy,1,0,1,0
3,4,0,Gale of Destruction (II),Deals P.DMG to 1 enemy.,0,14,15,,1,Single Enemy,1,0,1,0
4,4,0,Torch of Exorcism (II),Deals M.DMG to 1 enemy.,0,14,15,,1,Single Enemy,2,0,1,0
5,4,0,Wave of Exorcism (II),Deals M.DMG to 1 enemy.,0,14,15,,1,Single Enemy,2,0,1,0
6,4,0,Gale of Exorcism (II),Deals M.DMG to 1 enemy.,0,14,15,,1,Single Enemy,2,0,1,0
7,4,0,Torch of Destruction (III),Deals great P.DMG to 1 enemy.,0,16,15,,1,Single Enemy,1,0,1,0
8,4,0,Wave of Destruction (III),Deals great P.DMG to 1 enemy.,0,16,15,,1,Single Enemy,1,0,1,0
9,4,0,Gale of Destruction (III),Deals great P.DMG to 1 enemy.,0,16,15,,1,Single Enemy,1,0,1,0
10,4,0,Torch of Exorcism (III),Deals great M.DMG to 1 enemy.,0,16,15,,1,Single Enemy,2,0,1,0
11,4,0,Wave of Exorcism (III),Deals great M.DMG to 1 enemy.,0,16,15,,1,Single Enemy,2,0,1,0
12,4,0,Gale of Exorcism (III),Deals great M.DMG to 1 enemy.,0,16,15,,1,Single Enemy,2,0,1,0
13,4,0,Torch of Destruction (IV),Deals massive P.DMG to 1 enemy.,0,18,15,,1,Single Enemy,1,0,1,0
14,4,0,Wave of Destruction (IV),Deals massive P.DMG to 1 enemy.,0,18,15,,1,Single Enemy,1,0,1,0
15,4,0,Torch of Destruction (IV),Deals massive P.DMG to 1 enemy.,0,18,15,,1,Single Enemy,1,0,1,0
16,4,0,Torch of Exorcism (IV),Deals massive M.DMG to 1 enemy.,0,18,15,,1,Single Enemy,2,0,1,0
17,4,0,Wave of Exorcism (IV),Deals massive M.DMG to 1 enemy.,0,18,15,,1,Single Enemy,2,0,1,0
18,4,0,Gale of Exorcism (IV),Deals massive M.DMG to 1 enemy.,0,18,15,,1,Single Enemy,2,0,1,0
19,4,0,Inferno of Destruction (I),Deals slight P.DMG to 1 to 2 enemies.,0,17,15,,2,multiple enemies,1,0,2,0
20,4,0,Torrent of Destruction (I),Deals slight P.DMG to 1 to 2 enemies.,0,17,15,,2,multiple enemies,1,0,2,0
21,4,0,Gale of Destruction (I),Deals slight P.DMG to 1 to 2 enemies.,0,17,15,,2,multiple enemies,1,0,2,0
22,4,0,Inferno of Exorcism (I),Deals slight M.DMG to 1 to 2 enemies.,0,17,15,,2,multiple enemies,2,0,2,0
23,4,0,Torrent of Exorcism (I),Deals slight M.DMG to 1 to 2 enemies.,0,17,15,,2,multiple enemies,2,0,2,0
24,4,0,Gale of Exorcism (I),Deals slight M.DMG to 1 to 2 enemies.,0,17,15,,2,multiple enemies,2,0,2,0
25,4,0,Inferno of Destruction (II),Deals P.DMG to 1 to 2 enemies.,0,19,15,,2,multiple enemies,1,0,2,0
26,4,0,Torrent of Destruction (II),Deals P.DMG to 1 to 2 enemies.,0,19,15,,2,multiple enemies,1,0,2,0
27,4,0,Gale of Destruction (II),Deals P.DMG to 1 to 2 enemies.,0,19,15,,2,multiple enemies,1,0,2,0
28,4,0,Inferno of Exorcism (II),Deals M.DMG to 1 to 2 enemies.,0,19,15,,2,multiple enemies,2,0,2,0
29,4,0,Torrent of Exorcism (III),Deals great M.DMG to 1 to 2 enemies.,0,21,15,,2,multiple enemies,2,0,2,0
30,4,0,Gale of Exorcism (II),Deals M.DMG to 1 to 2 enemies.,0,19,15,,2,multiple enemies,2,0,2,0
33,4,0,Gale of Destruction (II),Deals P.DMG to 1 to 2 enemies.,0,19,15,,2,multiple enemies,1,0,2,0
34,4,0,Inferno of Exorcism (III),Deals great M.DMG to 1 to 2 enemies.,0,21,15,,2,multiple enemies,2,0,2,0
35,4,0,Torrent of Exorcism (II),Deals M.DMG to 1 to 2 enemies.,0,19,15,,2,multiple enemies,2,0,2,0
36,4,0,Gale of Exorcism (III),Deals great M.DMG to 1 to 2 enemies.,0,21,15,,2,multiple enemies,2,0,2,0
37,4,0,Torch of Destruction (II),Deals P.DMG to 1 enemy.,0,14,15,,1,Single Enemy,1,0,1,0
38,4,0,Wave of Destruction (II),Deals P.DMG to 1 enemy.,0,14,15,,1,Single Enemy,1,0,1,0
39,4,0,Gale of Destruction (II),Deals P.DMG to 1 enemy.,0,14,15,,1,Single Enemy,1,0,1,0
40,4,0,Torch of Exorcism (II),Deals M.DMG to 1 enemy.,0,14,15,,1,Single Enemy,2,0,1,0
41,4,0,Wave of Exorcism (II),Deals M.DMG to 1 enemy.,0,14,15,,1,Single Enemy,2,0,1,0
42,4,0,Gale of Exorcism (II),Deals M.DMG to 1 enemy.,0,14,15,,1,Single Enemy,2,0,1,0
43,4,0,Torch of Destruction (III),Deals great P.DMG to 1 enemy.,0,16,15,,1,Single Enemy,1,0,1,0
44,4,0,Wave of Destruction (III),Deals great P.DMG to 1 enemy.,0,16,15,,1,Single Enemy,1,0,1,0
45,4,0,Gale of Destruction (III),Deals great P.DMG to 1 enemy.,0,16,15,,1,Single Enemy,1,0,1,0
46,4,0,Torch of Exorcism (III),Deals great M.DMG to 1 enemy.,0,16,15,,1,Single Enemy,2,0,1,0
47,4,0,Wave of Exorcism (III),Deals great M.DMG to 1 enemy.,0,16,15,,1,Single Enemy,2,0,1,0
48,4,0,Gale of Exorcism (III),Deals great M.DMG to 1 enemy.,0,16,15,,1,Single Enemy,2,0,1,0
52,4,0,Torch of Exorcism (IV),Deals massive M.DMG to 1 enemy.,0,18,15,,1,Single Enemy,2,0,1,0
58,4,0,Inferno of Exorcism (II),Deals M.DMG to 1 to 2 enemies.,0,19,15,,2,multiple enemies,2,0,2,0
59,4,0,Torrent of Exorcism (II),Deals M.DMG to 1 to 2 enemies.,0,19,15,,2,multiple enemies,2,0,2,0
60,4,0,Gale of Exorcism (II),Deals M.DMG to 1 to 2 enemies.,0,19,15,,2,multiple enemies,2,0,2,0
61,4,0,Inferno of Destruction (III),Deals great P.DMG to 1 to 2 enemies.,0,21,15,,2,multiple enemies,1,0,2,0
62,4,0,Torrent of Destruction (III),Deals great P.DMG to 1 to 2 enemies.,0,21,15,,2,multiple enemies,1,0,2,0
63,4,0,Gale of Destruction (III),Deals great P.DMG to 1 to 2 enemies.,0,21,15,,2,multiple enemies,1,0,2,0
64,4,0,Inferno of Exorcism (III),Deals great M.DMG to 1 to 2 enemies.,0,21,15,,2,multiple enemies,2,0,2,0
65,4,0,Torrent of Exorcism (III),Deals great M.DMG to 1 to 2 enemies.,0,21,15,,2,multiple enemies,2,0,2,0
66,4,0,Gale of Exorcism (III),Deals great M.DMG to 1 to 2 enemies.,0,21,15,,2,multiple enemies,2,0,2,0
68,4,0,Icicle of Leeching (II),Deals P.DMG to 1 enemy.\nSlightly restores own HP.,0,17,15,,3,Single Enemy/Self,1,3,1,0
72,4,0,Evil Gust of Leeching (II),Deals M.DMG to 1 enemy.\nSlightly restores own HP.,0,17,15,,3,Single Enemy/Self,2,3,1,0
73,4,0,Tornado of Leeching (III),Deals great P.DMG to 1 enemy.\nSlightly restores own HP.,0,19,15,,3,Single Enemy/Self,1,3,1,0
74,4,0,Icicle of Leeching (III),Deals great P.DMG to 1 enemy.\nSlightly restores own HP.,0,19,15,,3,Single Enemy/Self,1,3,1,0
75,4,0,Tornado of Leeching (III),Deals great P.DMG to 1 enemy.\nSlightly restores own HP.,0,19,15,,3,Single Enemy/Self,1,3,1,0
76,4,0,Evil Ember of Leeching (III),Deals great M.DMG to 1 enemy.\nSlightly restores own HP.,0,19,15,,3,Single Enemy/Self,2,3,1,0
77,4,0,Evil Hail of Leeching (III),Deals great M.DMG to 1 enemy.\nSlightly restores own HP.,0,19,15,,3,Single Enemy/Self,2,3,1,0
78,4,0,Evil Gust of Leeching (III),Deals great M.DMG to 1 enemy.\nSlightly restores own HP.,0,19,15,,3,Single Enemy/Self,2,3,1,0
87,4,0,Flames of Assault (III),Deals great P.DMG to 1 enemy.\nSlightly increases own P.ATK.,0,17,15,,5,Single Enemy/Self,1,4,1,0
89,4,0,Evil Hail of Assault (III),Deals great M.DMG to 1 enemy.\nSlightly increases own M.ATK.,0,19,15,,5,Single Enemy,2,6,1,0
134,4,0,Icicle of Leeching (III),Deals great P.DMG to 1 enemy.\nSlightly restores own HP.,0,19,15,,3,Single Enemy/Self,1,3,1,0
159,4,0,Sand Barricade (III),Deals great P.DMG to 1 enemy.\nSlightly increases own P.DEF and M.DEF.,0,19,15,,5,Single Enemy/Self,1,13,1,0
187,4,0,Inferno of Leeching (I),Deals slight P.DMG to 1 to 2 enemies.\nSlightly restores own HP.,0,20,15,,4,Multiple Enemies/Self,1,3,2,0
189,4,0,Lightning of Leeching (I),Deals slight P.DMG to 1 to 2 enemies.\nSlightly restores own HP.,0,20,15,,4,Multiple Enemies/Self,1,3,2,0
190,4,0,Evil Blaze of Leeching (I),Deals slight M.DMG to 1 to 2 enemies.\nSlightly restores own HP.,0,20,15,,4,Multiple Enemies/Self,2,3,2,0
191,4,0,Evil Hail of Leeching (I),Deals slight M.DMG to 1 to 2 enemies.\nSlightly restores own HP.,0,20,15,,4,Multiple Enemies/Self,2,3,2,0
192,4,0,Evil Thunder of Leeching (I),Deals slight M.DMG to 1 to 2 enemies.\nSlightly restores own HP.,0,20,15,,4,Multiple Enemies/Self,2,3,2,0
196,4,0,Evil Blaze of Leeching (I),Deals slight M.DMG to 1 to 2 enemies.\nSlightly restores own HP.,0,20,15,,4,Multiple Enemies/Self,2,3,2,0
199,4,0,Inferno of Assault (I),Deals slight P.DMG to 1 to 2 enemies.\nSlightly increases own P.ATK.,0,20,15,,6,Multiple Enemies/Self,1,4,2,0
202,4,0,Evil Blaze of Assault (III),Deals great M.DMG to 1 to 2 enemies.\nSlightly increases own M.ATK.,0,22,15,,6,multiple enemies,2,6,2,0
203,4,0,Evil Hail of Assault (I),Deals slight M.DMG to 1 to 2 enemies.\nSlightly increases own M.ATK.,0,20,15,,6,multiple enemies,2,6,2,0
205,4,0,Inferno of Assault (III),Deals great P.DMG to 1 to 2 enemies.\nSlightly increases own P.ATK.,0,22,15,,6,Multiple Enemies/Self,1,4,2,0
206,4,0,Hailstorm of Assault (III),Deals great P.DMG to 1 to 2 enemies.\nSlightly increases own P.ATK.,0,22,15,,6,Multiple Enemies/Self,1,4,2,0
207,4,0,Lightning of Assault (III),Deals great P.DMG to 1 to 2 enemies.\nSlightly increases own P.ATK.,0,22,15,,6,Multiple Enemies/Self,1,4,2,0
208,4,0,Evil Blaze of Assault (III),Deals great M.DMG to 1 to 2 enemies.\nSlightly increases own M.ATK.,0,22,15,,6,multiple enemies,2,6,2,0
209,4,0,Evil Hail of Assault (III),Deals great M.DMG to 1 to 2 enemies.\nSlightly increases own M.ATK.,0,22,15,,6,multiple enemies,2,6,2,0
210,4,0,Evil Thunder of Assault (III),Deals great M.DMG to 1 to 2 enemies.\nSlightly increases own M.ATK.,0,22,15,,6,multiple enemies,2,6,2,0
212,4,0,Rampart of Black Ice (I),Deals slight P.DMG to 1 to 2 enemies.\nSlightly increases own P.DEF and M.DEF.,0,20,15,,6,Multiple Enemies/Self,1,13,2,0
247,4,0,Healing Light (II),Restores HP to 1 ally.,0,14,15,,35,Single Ally/Self,3,0,1,0
248,4,0,Blessed Gospel (I),Slightly restores HP to 1 to 2 allies.,0,17,15,,36,Multiple Allies/Self,3,0,2,0
249,4,0,Healing Light (III),Greatly restores HP to 1 ally.,0,16,15,,35,Single Ally/Self,3,0,1,0
250,4,0,Blessed Gospel (I),Slightly restores HP to 2 allies.,0,23,15,,35,Multiple Allies/Self,3,0,3,0
251,4,0,Blessed Gospel (I),Slightly restores HP to 2 allies.,0,23,15,,35,Multiple Allies/Self,3,0,3,0
252,4,0,Blessed Gospel (II),Restores HP to 1 to 2 allies.,0,19,15,,36,Multiple Allies/Self,3,0,2,0
253,4,0,Healing Light (IV),Massively restores HP to 1 ally.,0,18,15,,35,Single Ally/Self,3,0,1,0
254,4,0,Blessed Gospel (III),Greatly restores HP to 2 allies.,0,25,15,,35,Multiple Allies/Self,3,0,3,0
255,4,0,Blessed Gospel (III),Greatly restores HP to 2 allies.,0,25,15,,35,Multiple Allies/Self,3,0,3,0
256,4,0,Blessed Gospel (III),Greatly restores HP to 1 to 2 allies.,0,21,15,,36,Multiple Allies/Self,3,0,2,0
259,4,0,Hero's Rhapsody (I),Slightly increases 1 ally's P.ATK and M.ATK.,0,15,15,,41,Single Ally/Self,8,0,1,0
262,4,0,Holy Knight's Hymn (I),Slightly increases 1 ally's P.DEF and M.DEF.,0,15,15,,41,Single Ally/Self,13,0,1,0
265,4,0,Hero's Harmony (I),Slightly increases 2 allies' P.ATK and M.ATK.,0,22,15,,41,Multiple Allies/Self,8,0,3,0
268,4,0,Holy Knight's Gospel (I),Slightly increases 2 allies' P.DEF and M.DEF.,0,22,15,,41,Multiple Allies/Self,13,0,3,0
281,4,0,Warrior's Waltz (III),Greatly increases 1 ally's P.ATK.,0,16,15,,41,Single Ally/Self,4,0,1,0
283,4,0,Hero's Rhapsody (III),Greatly increases 1 ally's P.ATK and M.ATK.,0,17,15,,41,Single Ally/Self,8,0,1,0
289,4,0,Hero's Harmony (I),Slightly increases 2 allies' P.ATK and M.ATK.,0,23,15,,41,Multiple Allies/Self,8,0,3,0
292,4,0,Holy Knight's Gospel (I),Slightly increases 2 allies' P.DEF and M.DEF.,0,23,15,,41,Multiple Allies/Self,13,0,3,0
305,4,0,Warrior's Waltz (IV),Massively increases 1 ally's P.ATK.,0,18,15,,41,Single Ally/Self,4,0,1,0
306,4,0,Sorcerer's Waltz (IV),Massively increases 1 ally's M.ATK.,0,18,15,,41,Single Ally/Self,6,0,1,0
310,4,0,Holy Knight's Hymn (III),Greatly increases 1 ally's P.DEF and M.DEF.,0,18,15,,41,Single Ally/Self,13,0,1,0
313,4,0,Hero's Harmony (I),Slightly increases 2 allies' P.ATK and M.ATK.,0,24,15,,41,Multiple Allies/Self,8,0,3,0
316,4,0,Holy Knight's Gospel (II),Increases 2 allies' P.DEF and M.DEF.,0,25,15,,41,Multiple Allies/Self,13,0,3,0
322,4,0,Holy Knight's Gospel (II),Increases 2 allies' P.DEF and M.DEF.,0,25,15,,41,Multiple Allies/Self,13,0,3,0
326,4,0,Knight's Nocturne (III),Greatly increases 1 to 2 allies' P.DEF.,0,21,15,,42,Multiple Allies/Self,5,0,2,0
331,4,0,Curse of Corrosion (I),Slightly reduces 1 enemy's P.ATK and M.ATK.,0,15,15,,43,Single Enemy,18,0,1,0
334,4,0,Curse of Submission (I),Slightly reduces 1 enemy's P.DEF and M.DEF.,0,15,15,,43,Single Enemy,23,0,1,0
337,4,0,Incantation of Corrosion (I),Slightly reduces P.ATK and M.ATK of 2 enemies.,0,22,15,,43,multiple enemies,18,0,3,0
340,4,0,Incantation of Submission (I),Slightly reduces P.DEF and M.DEF of 2 enemies.,0,22,15,,43,multiple enemies,23,0,3,0
355,4,0,Curse of Corrosion (III),Greatly reduces 1 enemy's P.ATK and M.ATK.,0,17,15,,43,Single Enemy,18,0,1,0
356,4,0,Curse of Demolition (III),Greatly reduces 1 enemy's P.DEF.,0,16,15,,43,Single Enemy,15,0,1,0
358,4,0,Curse of Submission (II),Reduces 1 enemy's P.DEF and M.DEF.,0,17,15,,43,Single Enemy,23,0,1,0
361,4,0,Incantation of Corrosion (I),Slightly reduces P.ATK and M.ATK of 2 enemies.,0,23,15,,43,multiple enemies,18,0,3,0
364,4,0,Incantation of Submission (I),Slightly reduces P.DEF and M.DEF of 2 enemies.,0,23,15,,43,multiple enemies,23,0,3,0
377,4,0,Curse of Rust (IV),Massively reduces 1 enemy's P.ATK.,0,18,15,,43,Single Enemy,14,0,1,0
378,4,0,Curse of Debilitation (IV),Massively reduces 1 enemy's M.ATK.,0,18,15,,43,Single Enemy,16,0,1,0
380,4,0,Curse of Demolition (III),Greatly reduces 1 enemy's P.DEF.,0,16,15,,43,Single Enemy,15,0,1,0
381,4,0,Curse of Disenchantment (IV),Massively reduces 1 enemy's M.DEF.,0,18,15,,43,Single Enemy,17,0,1,0
382,4,0,Curse of Submission (III),Greatly reduces 1 enemy's P.DEF and M.DEF.,0,19,15,,43,Single Enemy,23,0,1,0
396,4,0,Incantation of Debilitation (III),Greatly reduces 1 to 2 enemies' M.ATK.,0,21,15,,44,multiple enemies,16,0,2,0
398,4,0,Incantation of Demolition (III),Greatly reduces 1 to 2 enemies' P.DEF.,0,21,15,,44,multiple enemies,15,0,2,0
475,4,0,Prayer of Assault (II),Restores HP to 1 ally.\nSlightly increases ally's M.ATK.,0,17,15,,37,Single Ally/Self,3,6,1,0
497,4,0,Breath of Assault (III),Greatly restores HP to 1 ally.\nSlightly increases ally's P.ATK.,0,19,15,,37,Single Ally/Self,3,4,1,0
498,4,0,Prayer of Assault (III),Greatly restores HP to 1 ally.\nSlightly increases ally's M.ATK.,0,19,15,,37,Single Ally/Self,3,6,1,0
511,4,0,Prayer of Protection (III),Greatly restores HP to 1 ally.\nSlightly increases ally's M.DEF.,0,19,15,,37,Single Ally/Self,3,7,1,0
569,0,0,Hunter's Soul,Increases the effectiveness of skills against beasts.,0,0,0,,0,own,0,0,0,0
570,0,0,Gatherer's Soul,Increases the effectiveness of skills against plants.,0,0,0,,0,own,0,0,0,0
572,0,0,Fowler's Soul,Increases the effectiveness of skills against birds.,0,0,0,,0,own,0,0,0,0
573,0,0,Ghost Hunter's Soul,Increases the effectiveness of skills against ghosts.,0,0,0,,0,own,0,0,0,0
574,0,0,Dragonslayer's Soul,Increases the effectiveness of skills against dragons.,0,0,0,,0,own,0,0,0,0
575,0,0,Demon Hunter's Soul,Increases the effectiveness of skills against orc types.,0,0,0,,0,own,0,0,0,0
577,0,0,Soul Hunting Spirit,This skill is more effective on Wisp type enemies.,0,0,0,,0,own,0,0,0,0
580,0,0,Machine Lifeform and Emil's Hunting Spirit,This skill is more effective on machine lifeform and Emil type enemies.,0,0,0,,0,own,0,0,0,0
594,1,0,Inferno of Leeching (I),Deals slight P.DMG to 1 to 2 enemies.\nSlightly restores own HP.,0,20,15,,4,Multiple Enemies/Self,1,3,2,0
595,1,0,Icicle of Leeching (III),Deals great P.DMG to 1 enemy.\nSlightly restores own HP.,0,19,15,,3,Single Enemy/Self,1,3,1,0
597,1,0,Evil Blaze of Leeching (I),Deals slight M.DMG to 1 to 2 enemies.\nSlightly restores own HP.,0,20,15,,4,Multiple Enemies/Self,2,3,2,0
598,1,0,Evil Hail of Leeching (I),Deals slight M.DMG to 1 to 2 enemies.\nSlightly restores own HP.,0,20,15,,4,Multiple Enemies/Self,2,3,2,0
599,1,0,Evil Thunder of Leeching (I),Deals slight M.DMG to 1 to 2 enemies.\nSlightly restores own HP.,0,20,15,,4,Multiple Enemies/Self,2,3,2,0
606,1,0,Inferno of Assault (III),Deals great P.DMG to 1 to 2 enemies.\nSlightly increases own P.ATK.,0,22,15,,6,Multiple Enemies/Self,1,4,2,0
607,1,0,Hailstorm of Assault (III),Deals great P.DMG to 1 to 2 enemies.\nSlightly increases own P.ATK.,0,22,15,,6,Multiple Enemies/Self,1,4,2,0
608,1,0,Lightning of Assault (III),Deals great P.DMG to 1 to 2 enemies.\nSlightly increases own P.ATK.,0,22,15,,6,Multiple Enemies/Self,1,4,2,0
619,1,0,Rampart of Black Ice (I),Deals slight P.DMG to 1 to 2 enemies.\nSlightly increases own P.DEF and M.DEF.,0,20,15,,6,Multiple Enemies/Self,1,13,2,0
620,1,0,Sand Barricade (III),Deals great P.DMG to 1 enemy.\nSlightly increases own P.DEF and M.DEF.,0,19,15,,5,Single Enemy/Self,1,13,1,0
633,1,0,Evil Blaze of Assault (III),Deals great M.DMG to 1 to 2 enemies.\nSlightly increases own M.ATK.,0,22,15,,6,multiple enemies,2,6,2,0
634,1,0,Evil Hail of Assault (III),Deals great M.DMG to 1 to 2 enemies.\nSlightly increases own M.ATK.,0,22,15,,6,multiple enemies,2,6,2,0
