cardMstId,frontSkillMstId,backSkillMstId,autoSkillMstId,questSkillMstId,artMstId,questArtMstId,protectorSkillMstId,teamId,akbMemberMstId,seriesMstId,name,shortName,resourceName,assetBundleName,cardUniqueId,roleType,cardType,cardDetailType,weaponType,setEffectSeriesId,rarity,giveItemMstId,medalCount,attribute,kind,kindDetail,modeType,shaderType,maxLevel,maxAttack,maxMagicAttack,maxDefence,maxMagicDefence,addAttackValue,addMagicAttackValue,addDefenceValue,addMagicDefenceValue,defaultSellPrice,description,evolutionLevel,maxEvolutionLevel,deckCost,materialSkillExp,materialMergeExp,isInfiniteEvolution,isParameterCustomEnabled,isSkillCustomEnabled,isDeckDisabled,isRelease,createdTime
1,1002,1002,1046,283,0,0,0,0,0,0,War Song's Echo,War Song's Echo,1,card/0,1,0,1,1,2,0,4,2,8,1,0,0,0,0,70,869,699,429,427,9,7,4,4,18500,Battle Song Echo Description,0,0,13,300,1600,0,0,0,0,1,0
2,1002,1002,1046,283,0,0,0,0,0,0,War Song's Echo,War Song's Echo,2,card/1,1,0,1,1,2,0,5,2,8,1,0,0,0,0,80,1076,867,531,529,10,8,5,5,55000,Battle Song Echo Description,1,0,13,300,5500,0,0,0,0,1,0
3,1014,1014,1037,361,0,0,0,0,0,0,Book of Regret,Book of Regret,3,card/0,2,0,1,2,4,0,4,2,8,1,0,0,0,0,70,871,701,467,377,9,7,5,4,18500,Book of Regret Description,0,0,13,300,1600,0,0,0,0,1,0
4,1014,1014,1037,361,0,0,0,0,0,0,Book of Regret,Book of Regret,4,card/1,2,0,1,2,4,0,5,2,8,1,0,0,0,0,80,1078,869,577,466,10,8,5,4,55000,Book of Regret Description,1,0,13,300,5500,0,0,0,0,1,0
5,1026,1026,1045,249,0,0,0,0,0,0,Staff of Submission,Staff of Submission,5,card/0,3,0,1,4,6,0,4,2,8,1,0,0,0,0,70,873,703,469,379,9,7,5,4,18500,Staff of Obedience Description,0,0,13,300,1600,0,0,0,0,1,0
6,1026,1026,1045,249,0,0,0,0,0,0,Staff of Submission,Staff of Submission,6,card/1,3,0,1,4,6,0,5,2,8,1,0,0,0,0,80,1080,871,579,468,10,8,5,4,55000,Staff of Obedience Description,1,0,13,300,5500,0,0,0,0,1,0
7,993,993,1045,28,0,0,0,0,0,0,One Wish,One Wish,7,card/0,4,0,1,3,5,0,4,2,8,1,0,0,0,0,70,709,871,471,381,7,9,5,4,18500,Sliver of Desire Description,0,0,13,300,1600,0,0,0,0,1,0
8,993,993,1045,28,0,0,0,0,0,0,One Wish,One Wish,8,card/1,4,0,1,3,5,0,5,2,8,1,0,0,0,0,80,877,1078,581,470,8,10,5,4,55000,Sliver of Desire Description,1,0,13,300,5500,0,0,0,0,1,0
9,990,990,1032,7,0,0,0,0,0,0,Fencer's Foil,Fencer's Foil,9,card/0,5,0,1,5,7,0,4,2,8,1,0,0,0,0,70,877,707,473,383,9,7,5,4,18500,Master Fencer's Long Sword Description,0,0,13,300,1600,0,0,0,0,1,0
10,990,990,1032,7,0,0,0,0,0,0,Fencer's Foil,Fencer's Foil,10,card/1,5,0,1,5,7,0,5,2,8,1,0,0,0,0,80,1074,865,573,462,10,8,5,4,55000,Master Fencer's Long Sword Description,1,0,13,300,5500,0,0,0,0,1,0
11,1277,1277,1036,25,0,0,0,0,0,0,Meat Pulverizer,Meat Pulverizer,11,card/0,6,0,1,6,12,0,4,2,8,1,0,0,0,0,70,869,699,465,375,9,7,5,4,18500,Flesh-Crushing Hammer Description,0,0,13,300,1600,0,0,0,0,1,0
12,1277,1277,1036,25,0,0,0,0,0,0,Meat Pulverizer,Meat Pulverizer,12,card/1,6,0,1,6,12,0,5,2,8,1,0,0,0,0,80,1076,867,575,464,10,8,5,4,55000,Flesh-Crushing Hammer Description,1,0,13,300,5500,0,0,0,0,1,0
13,1278,1278,1032,10,0,0,0,0,0,0,Princess' Pillage,Princess' Pillage,13,card/0,7,0,1,7,16,0,4,2,8,1,0,0,0,0,70,705,867,467,377,7,9,5,4,18500,Compensation for a Kidnapped Princess Description,0,0,13,300,1600,0,0,0,0,1,0
14,1278,1278,1032,10,0,0,0,0,0,0,Princess' Pillage,Princess' Pillage,14,card/1,7,0,1,7,16,0,5,2,8,1,0,0,0,0,80,873,1074,577,466,8,10,5,4,55000,Compensation for a Kidnapped Princess Description,1,0,13,300,5500,0,0,0,0,1,0
15,993,993,1040,28,0,0,0,0,0,0,Illusionary Scythe,Illusionary Scythe,15,card/0,8,0,1,8,20,0,4,2,8,1,0,0,0,0,70,707,869,469,379,7,9,5,4,18500,Sickle of Hallucination Description,0,0,13,300,1600,0,0,0,0,1,0
16,993,993,1040,28,0,0,0,0,0,0,Illusionary Scythe,Illusionary Scythe,16,card/1,8,0,1,8,20,0,5,2,8,1,0,0,0,0,80,875,1076,579,468,8,10,5,4,55000,Sickle of Hallucination Description,1,0,13,300,5500,0,0,0,0,1,0
